,PM2.5_pred,PM2.5_real,PM10_pred,PM10_real,NO2_pred,NO2_real,CO_pred,CO_real,SO2_pred,SO2_real,O3_8h_pred,O3_8h_real
682,66.361176,61.0,88.74849,94.0,40.2636,42.00000000000001,0.86747575,0.8,4.6536403,5.0,163.84134,164.0
683,425.80356,364.0,395.2694,389.0,144.71921,153.0,6.1804395,7.5,27.430206,19.0,-16.98015,13.0
684,33.45244,33.0,75.1327,75.0,26.689745,27.0,0.42457822,0.5,4.320062,3.0,183.63019,187.0
685,78.973114,81.0,123.02619,118.0,57.301643,58.99999999999999,1.2202194,1.3,19.769665,20.0,103.06492,105.0
686,24.496284,34.0,49.72532,54.0,21.475513,17.0,0.54168713,0.6,2.7123652,2.0,124.64172,125.0
687,65.78691,58.0,87.244514,95.0,30.157959,31.0,0.83153987,0.8,1.046591,2.0,179.70378,180.0
688,7.6704264,10.0,29.032843,28.0,18.507957,21.000000000000004,0.46615598,0.3,4.6997895,3.0,137.13774,139.0
689,13.739796,16.0,27.223885,26.0,14.035582,11.0,0.43364772,0.4,1.8359723,3.0,114.64657,113.0
690,7.898231,0.0,4.123991,0.0,31.162796,33.0,0.56500244,0.6,5.890145,4.0,77.995,75.0
691,54.16056,59.0,83.18538,78.0,46.136135,48.99999999999999,0.8247713,0.7,5.714885,5.0,79.19988,79.0
692,34.65895,44.0,47.404358,42.0,20.106188,20.0,0.6695405,0.6,3.7036505,3.0,165.65276,169.0
693,17.397217,18.0,39.791805,37.0,17.915623,20.0,0.4512551,0.4,4.626543,2.0,209.53322,215.99999999999997
694,70.93206,87.0,31.804472,0.0,53.79949,54.0,1.4845154,1.4,4.54303,6.0,25.63454,26.999999999999996
695,57.945927,53.0,85.353386,88.00000000000001,29.488142,32.0,0.80500853,0.8,4.6253304,5.0,186.81348,187.0
696,49.30174,38.0,135.98724,163.0,25.218021,20.0,0.30022797,0.4,1.1471994,3.0,95.60251,91.0
697,79.635254,87.0,118.51216,123.0,46.343933,48.0,1.004871,0.8,6.738485,7.0,94.68064,98.0
698,7.0979667,14.0,18.89221,23.0,19.05784,14.0,0.4885415,0.5,2.837417,3.0,85.76529,87.0
699,100.90661,116.0,117.9495,109.0,49.28879,46.0,1.5602932,1.7,14.123052,14.0,74.20045,80.0
700,54.093723,57.0,78.91042,73.0,38.817303,38.99999999999999,0.71762407,0.7,1.1358078,2.0,54.838768,53.99999999999999
701,72.91539,77.0,76.945656,72.0,36.318287,31.0,1.0000623,1.3,3.0899043,4.0,178.65596,180.0
702,60.58977,42.0,81.376076,84.0,44.173813,52.00000000000001,0.9916917,1.0,11.762683,11.0,219.9721,219.0
703,37.956554,29.0,83.747116,92.99999999999999,25.865385,25.0,0.4483039,0.4,0.48290312,3.0,54.029305,53.0
704,202.17624,180.0,211.29276,203.0,93.95983,95.0,2.6489367,3.1,6.35143,5.0,21.648817,36.0
705,20.019566,29.0,42.849503,44.00000000000001,17.046442,14.0,0.41347095,0.4,2.9396727,3.0,159.30399,162.0
706,3.116675,9.0,34.662365,25.000000000000004,27.660948,29.0,0.43696132,0.4,5.0653048,3.0,66.74443,70.0
707,1.8745561,8.0,38.181667,29.0,22.92865,23.0,0.21583113,0.3,4.4801345,2.0,73.939156,78.0
708,94.24298,133.0,47.83112,0.0,34.938553,33.0,1.3642333,1.1,-0.9071666,2.0,152.51598,151.0
709,63.155487,55.0,89.106155,82.0,39.10422,46.0,0.9976618,1.0,6.83165,6.0,146.46626,146.0
710,56.589626,58.0,77.233864,75.0,48.11952,53.0,1.2249403,1.2,14.168317,12.0,39.674225,41.0
711,40.400425,34.0,42.132862,40.0,41.369118,45.0,0.8560327,0.8,2.3529525,2.0,76.21909,78.0
712,33.724785,23.0,49.502537,52.0,27.385908,30.0,0.62050486,0.6,1.8926889,2.0,150.93799,152.0
713,54.687756,54.0,102.57169,108.0,45.24407,48.99999999999999,0.79484236,0.6,10.842176,11.0,115.85905,114.99999999999999
714,11.069516,11.0,25.627125,16.0,24.026205,22.0,0.5492228,0.6,9.134724,10.0,51.797516,51.0
715,13.629422,28.0,22.467571,0.0,21.292475,19.0,0.39137468,0.3,1.935681,3.0,92.80647,92.0
716,18.202354,15.0,30.617577,31.0,27.429096,24.0,0.58788335,0.7,1.8626149,2.0,49.368183,45.0
717,36.600628,27.0,56.361988,60.0,26.758442,29.0,0.6116215,0.6,3.0688932,3.0,181.48608,183.0
718,35.855816,30.0,68.878586,77.0,43.646744,42.00000000000001,0.59665036,0.7,5.4637904,5.0,62.557228,63.0
719,23.681255,23.0,31.169064,48.0,40.454613,36.0,0.53908587,0.4,1.7601572,2.0,51.14348,47.0
720,108.54233,108.0,172.7527,174.0,56.10204,55.0,1.1073775,1.2,6.8039575,8.0,95.028015,93.0
721,28.352856,24.0,48.951847,42.99999999999999,27.293419,32.0,0.61449826,0.4,1.8877971,3.0,92.18465,87.0
722,17.036106,22.0,46.04131,48.99999999999999,16.7884,16.0,0.4828399,0.3,3.1424325,3.0,115.589966,114.99999999999999
723,53.014305,35.0,74.82854,71.0,45.924484,55.0,0.89915836,0.8,5.1078753,5.0,24.550158,17.0
724,34.627438,43.0,20.700365,0.0,37.179924,38.99999999999999,0.89385664,0.8,1.7081921,2.0,31.514366,33.0
725,26.49348,19.0,37.633247,40.0,25.431429,30.0,0.5896417,0.5,2.742753,2.0,144.22882,150.0
